date,deaths
2022-02-26,51
2022-03-05,46
2022-03-12,41
2022-03-19,39
2022-03-26,33
2022-04-02,73
2022-04-09,75
2022-04-16,83
2022-04-23,80
2022-04-30,83
2022-05-07,102
2022-05-14,90
2022-05-21,86
2022-05-28,98
2022-06-04,86
2022-06-11,80
2022-06-18,77
2022-06-25,104
2022-07-02,116
2022-07-09,95
2022-07-16,142
2022-07-23,146
2022-07-30,164
2022-08-06,200
2022-08-13,167
2022-08-20,170
2022-08-27,126
2022-09-03,131
2022-09-10,122
2022-09-17,110
2022-09-24,67
2022-10-01,75
2022-10-08,35
2022-10-15,30
2022-10-22,24
2022-10-29,17
2022-11-05,24
2022-11-12,24
2022-11-19,37
2022-11-26,25
2022-12-03,35
2022-12-10,56
2022-12-17,75
2022-12-31,95
2023-01-07,92
2023-01-14,123
2023-01-21,124
2023-01-28,86
2023-02-04,90
2023-02-11,61
2023-02-18,45
2023-02-25,48
2023-03-04,28
2023-03-11,29
2023-03-18,22
2023-03-25,29
2023-04-01,25
2023-04-08,28
2023-04-15,28
2023-04-22,31
2023-04-29,39
2023-05-04,53
2023-05-11,59
2023-05-18,61
2023-05-25,69
2023-06-01,64
2023-06-08,81
2023-06-15,53
2023-06-22,85
2023-06-29,97
2023-07-06,51
